Date,Close/Last,Open,High,Low
12/11/2023,7551.53,7534.23,7559.95,7526.44
12/08/2023,7526.55,7441.00,7545.68,7430.74
12/07/2023,7428.52,7424.82,7436.95,7415.66
12/06/2023,7435.99,7400.21,7455.00,7384.99
12/05/2023,7386.99,7320.49,7392.64,7315.49
12/04/2023,7332.59,7331.80,7354.32,7313.71
12/01/2023,7346.15,7336.55,7360.10,7313.19
11/30/2023,7310.77,7276.87,7321.47,7255.04
11/29/2023,7267.64,7241.41,7296.40,7236.22
11/28/2023,7250.13,7230.74,7253.42,7213.74
11/27/2023,7265.49,7292.91,7307.67,7265.49
11/24/2023,7292.80,7275.00,7298.91,7267.52
11/23/2023,7277.93,7274.25,7285.29,7263.67
11/22/2023,7260.73,7252.01,7274.77,7243.60
11/21/2023,7229.45,7231.04,7248.06,7214.39
11/20/2023,7246.93,7242.40,7267.04,7236.02
11/17/2023,7233.91,7196.69,7246.72,7189.87
11/16/2023,7168.40,7203.96,7210.01,7168.40
11/15/2023,7209.61,7214.69,7245.37,7195.40
11/14/2023,7185.68,7098.72,7207.77,7083.23
11/13/2023,7087.06,7069.88,7103.67,7056.09
11/10/2023,7045.04,7079.40,7083.12,7006.09
11/09/2023,7113.66,7043.88,7122.51,7025.61
11/08/2023,7034.16,6951.48,7068.04,6950.95
11/07/2023,6986.23,6970.66,7011.79,6963.88
11/06/2023,7013.73,7066.18,7069.66,7006.53
11/03/2023,7047.50,7084.51,7086.71,7046.86
11/02/2023,7060.69,6991.45,7097.39,6982.04
11/01/2023,6932.63,6914.32,6954.84,6873.55
10/31/2023,6885.65,6840.73,6903.20,6831.67
10/30/2023,6825.07,6826.95,6854.60,6809.84
10/27/2023,6795.38,6898.98,6898.98,6784.62
10/26/2023,6888.96,6835.53,6915.24,6825.59
10/25/2023,6915.07,6859.69,6927.27,6846.51
10/24/2023,6893.65,6865.10,6909.08,6833.91
10/23/2023,6850.47,6820.25,6855.93,6773.82
10/20/2023,6816.22,6850.13,6880.64,6816.17
10/19/2023,6921.37,6918.08,6938.31,6875.77
10/18/2023,6965.99,7021.13,7045.18,6954.10
10/17/2023,7029.70,7016.25,7051.18,6969.07
10/16/2023,7022.19,7029.75,7048.34,6963.02
10/13/2023,7003.53,7097.15,7108.76,6997.48
10/12/2023,7104.53,7175.77,7182.30,7097.53
10/11/2023,7131.21,7090.18,7166.50,7080.01
10/10/2023,7162.43,7086.72,7170.32,7085.13
10/09/2023,7021.40,7041.38,7057.81,6980.33
10/06/2023,7060.15,7022.07,7064.44,6981.49
10/05/2023,6998.25,7009.82,7025.50,6970.59
10/04/2023,6996.73,6959.52,7050.69,6948.03
10/03/2023,6997.05,7031.59,7075.49,6989.77
10/02/2023,7068.16,7164.05,7197.00,7035.65
09/29/2023,7135.06,7152.30,7204.96,7135.06
09/28/2023,7116.24,7068.03,7117.33,7042.74
09/27/2023,7071.79,7070.39,7106.37,7053.11
09/26/2023,7074.02,7083.86,7095.46,7033.83
09/25/2023,7123.88,7157.23,7199.95,7087.63
